2024-11-30 19:26:56 | INFO | model_worker | args: Namespace(host='0.0.0.0', port=40000, worker_address='auto', controller_address='http://SH-IDCA1404-10-140-54-5:20001', model_path='/mnt/petrelfs/songmingyang/songmingyang/model/tool-augment/llava_plus_v0_7b', model_base=None, model_name=None, device='cuda', multi_modal=False, limit_model_concurrency=5, stream_interval=1, no_register=False, load_8bit=False, load_4bit=False)
2024-11-30 19:26:56 | INFO | stdout | SLURM Node Name: SH-IDCA1404-10-140-54-108
2024-11-30 19:26:56 | INFO | model_worker | Loading the model llava_plus_v0_7b on worker 1404bb ...
You are using the legacy behaviour of the <class 'transformers.models.llama.tokenization_llama.LlamaTokenizer'>. This means that tokens that come after special tokens will not be properly handled. We recommend you to read the related pull request available at https://github.com/huggingface/transformers/pull/24565
2024-11-30 19:26:56 | ERROR | stderr | /mnt/petrelfs/songmingyang/anaconda3/envs/llava_plus/lib/python3.10/site-packages/huggingface_hub/file_download.py:797: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
2024-11-30 19:26:56 | ERROR | stderr |   warnings.warn(
2024-11-30 19:27:08 | ERROR | stderr | Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]
2024-11-30 19:27:24 | ERROR | stderr | Loading checkpoint shards:  50%|█████     | 1/2 [00:16<00:16, 16.03s/it]
2024-11-30 19:27:30 | ERROR | stderr | Loading checkpoint shards: 100%|██████████| 2/2 [00:22<00:00, 10.44s/it]
2024-11-30 19:27:30 | ERROR | stderr | Loading checkpoint shards: 100%|██████████| 2/2 [00:22<00:00, 11.28s/it]
2024-11-30 19:27:30 | ERROR | stderr | 
